Rnodes,Rbest,Rworst,Bnodes,Bbest,Bworst,Enodes,Ebest,Eworst
,,,574,216,222,1485,353,365
,,,575,217,223,1486,354,366
,,,576,218,224,1487,355,365
,,,577,215,225,1488,356,366
,,,578,216,224,1489,357,367
,,,579,217,225,1490,358,367
,,,580,218,228,1491,359,368
,,,581,221,229,1492,359,369
,,,582,218,230,1493,360,368
,,,583,219,231,1494,361,369
,,,584,220,228,1495,360,370
,,,585,221,231,1496,361,366
,,,586,224,232,1497,362,367
,,,587,225,233,1498,363,368
,,,588,224,234,1499,364,369
,,,589,225,229,1500,364,370
,,,590,226,230,1501,365,371
,,,591,227,231,1502,366,372
,,,592,228,232,1503,367,372
,,,593,229,233,1504,368,373
,,,594,230,232,1505,369,374
,,,595,231,233,1506,370,375
,,,596,234,236,1507,366,376
,,,597,235,237,1508,367,375
,,,598,234,238,1509,368,376
,,,599,235,239,1510,367,377
,,,600,236,236,1511,368,377
,,,601,237,239,1512,369,378
,,,602,240,240,1513,369,379
,,,603,241,241,1514,370,380
,,,604,242,242,1515,371,381
,,,635,255,255,1516,370,382
,,,636,256,256,1517,371,383
,,,637,257,257,1518,372,384
,,,638,258,260,1519,373,385
,,,639,261,261,1520,374,384
,,,640,258,262,1521,375,385
,,,641,259,263,1522,376,386
,,,642,260,262,1523,377,386
,,,643,261,263,1524,378,387
,,,644,264,266,1525,374,388
,,,645,265,267,1526,375,387
,,,646,264,268,1527,376,388
,,,647,265,269,1528,375,389
,,,648,266,270,1529,376,385
,,,649,267,271,1530,377,386
,,,650,268,272,1531,377,387
,,,651,263,273,1532,378,388
,,,652,264,272,1533,379,389
,,,653,265,273,1534,378,390
,,,654,266,276,1535,379,391
,,,655,269,277,1536,380,390
,,,656,266,278,1537,381,391
,,,657,267,279,1538,382,392
,,,658,268,276,1539,383,392
,,,659,269,279,1540,384,393
,,,660,272,280,1541,380,394
,,,661,273,281,1542,381,393
,,,662,272,282,1543,382,394
,,,663,273,279,1544,381,395
,,,664,274,280,1545,382,391
,,,665,275,281,1546,383,392
,,,666,276,280,1547,383,393
,,,667,277,281,1548,384,394
,,,668,278,284,1549,385,395
,,,669,279,285,1550,384,396
,,,670,282,286,1551,385,397
,,,671,283,287,1552,386,398
,,,672,282,288,1553,387,399
,,,673,283,289,1554,388,398
,,,674,284,290,1555,389,399
,,,675,281,291,1556,390,400
,,,676,282,291,1557,391,400
,,,677,283,292,1558,392,401
,,,678,284,294,1559,392,402
,,,679,287,295,1560,393,401
,,,680,284,296,1561,394,402
,,,681,285,297,1562,393,403
,,,682,286,297,1563,394,399
,,,683,287,298,1564,395,400
,,,684,290,299,1565,396,401
,,,685,291,300,1566,397,402
,,,686,290,301,1567,397,403
,,,687,291,302,1568,398,404
,,,688,292,301,1569,399,405
,,,689,293,302,1570,400,405
,,,690,294,305,1571,401,406
,,,691,295,306,1572,402,407
,,,692,295,307,1573,403,408
,,,693,296,308,1574,399,409
,,,694,297,305,1575,400,408
,,,695,298,308,1576,401,409
,,,696,300,309,1577,400,410
,,,697,301,310,1578,401,410
,,,698,301,311,1579,402,411
,,,699,302,308,1580,402,412
,,,700,303,309,1581,403,413
,,,701,304,310,1582,404,414
,,,702,305,309,1583,403,415
,,,703,306,310,1584,404,416
,,,704,307,313,1585,405,417
,,,705,308,314,1586,406,418
,,,706,311,315,1587,407,417
,,,707,312,316,1588,408,418
,,,708,311,317,1589,409,419
,,,709,312,318,1590,410,419
,,,710,313,319,1591,411,420
,,,711,310,320,1592,411,421
,,,712,311,319,1593,412,420
,,,713,312,320,1594,413,421
,,,714,313,323,1595,412,422
,,,715,316,324,1596,413,418
,,,716,313,325,1597,414,419
,,,717,314,326,1598,415,420
,,,718,315,323,1599,416,421
,,,719,316,326,1600,417,422
,,,720,319,327,1601,418,423
,,,721,320,328,1602,419,424
,,,722,319,329,1603,422,423
,,,723,320,324,1604,421,424
,,,724,321,325,1605,422,425
,,,725,322,326,1606,423,425
,,,726,323,327,1607,424,426
,,,727,324,328,1608,425,427
,,,728,325,327,1609,426,426
,,,729,326,328,1610,427,427
,,,730,329,331,,,
,,,731,330,332,,,
,,,732,329,333,,,
,,,733,330,334,,,
,,,734,331,331,,,
,,,735,332,334,,,
,,,736,335,335,,,
,,,737,336,336,,,
,,,738,337,337,,,
,,,757,400,400,,,
,,,758,401,401,,,
,,,759,402,402,,,
,,,760,403,405,,,
,,,761,406,406,,,
,,,762,403,407,,,
,,,763,404,408,,,
,,,764,405,407,,,
,,,765,406,408,,,
,,,766,409,411,,,
,,,767,410,412,,,
,,,768,409,413,,,
,,,769,410,414,,,
,,,770,411,415,,,
,,,771,412,416,,,
,,,772,413,417,,,
,,,773,408,418,,,
,,,774,409,417,,,
,,,775,410,418,,,
,,,776,411,421,,,
,,,777,414,422,,,
,,,778,411,423,,,
,,,779,412,424,,,
,,,780,413,421,,,
,,,781,414,424,,,
,,,782,417,425,,,
,,,783,418,426,,,
,,,784,417,427,,,
,,,785,418,424,,,
,,,786,419,425,,,
,,,787,420,426,,,
,,,788,421,425,,,
,,,789,422,426,,,
,,,790,423,429,,,
,,,791,424,430,,,
